Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
supplieranalysis.custom_manufacturer,supplieranalysis,Custom Manufacturer,Custom Manufacturer,Custom Manufacturer,Custom Manufacturer
supplieranalysis.custom_wooden_essential_oil_di,supplieranalysis,Custom Wooden Essential Oil Diffuser Box Decorative Crafts...,Custom Wooden Essential Oil Diffuser Box Decorative Crafts...,Custom Wooden Essential Oil Diffuser Box Decorative Crafts...,Custom Wooden Essential Oil Diffuser Box Decorative Crafts...
supplieranalysis.customized_diy_gift_wooden_per,supplieranalysis,Customized DIY Gift Wooden Performance Desk...,Customized DIY Gift Wooden Performance Desk...,Customized DIY Gift Wooden Performance Desk...,Customized DIY Gift Wooden Performance Desk...
supplieranalysis.demand,supplieranalysis,demand,demand,demand,demand
supplieranalysis.eco_friendly_natural_wood_desk,supplieranalysis,Eco-friendly Natural Wood Desktop Calendar Blocks...,Eco-friendly Natural Wood Desktop Calendar Blocks...,Eco-friendly Natural Wood Desktop Calendar Blocks...,Eco-friendly Natural Wood Desktop Calendar Blocks...
supplieranalysis.factory_wholesale_high_quality,supplieranalysis,Factory Wholesale High Quality Wooden Handicrafts Ornaments...,Factory Wholesale High Quality Wooden Handicrafts Ornaments...,Factory Wholesale High Quality Wooden Handicrafts Ornaments...,Factory Wholesale High Quality Wooden Handicrafts Ornaments...
supplieranalysis.guangdong_cn,supplieranalysis,Guangdong， CN,Guangdong， CN,Guangdong， CN,Guangdong， CN
supplieranalysis.handcrafted_wooden_wall_clock,supplieranalysis,Handcrafted Wooden Wall Clock Minimalist Design...,Handcrafted Wooden Wall Clock Minimalist Design...,Handcrafted Wooden Wall Clock Minimalist Design...,Handcrafted Wooden Wall Clock Minimalist Design...
supplieranalysis.huizhou_renhe_premium,supplieranalysis,Huizhou Renhe Premium...,Huizhou Renhe Premium...,Huizhou Renhe Premium...,Huizhou Renhe Premium...
supplieranalysis.huizhou_renhe_premium_bamboo_w,supplieranalysis,Huizhou Renhe Premium Bamboo & Wood P...,Huizhou Renhe Premium Bamboo & Wood P...,Huizhou Renhe Premium Bamboo & Wood P...,Huizhou Renhe Premium Bamboo & Wood P...
supplieranalysis.is_an_excellent_fit_for_your_q,supplieranalysis,is an excellent fit for your query， as they hold the required CE certification to ensure product safety and compliance. With,is an excellent fit for your query， as they hold the required CE certification to ensure product safety and compliance. With,is an excellent fit for your query， as they hold the required CE certification to ensure product safety and compliance. With,is an excellent fit for your query， as they hold the required CE certification to ensure product safety and compliance. With
supplieranalysis.long_term_effective,supplieranalysis,Long term effective,Long term effective,Long term effective,Long term effective
supplieranalysis.main_client_types,supplieranalysis,Main Client Types,Main Client Types,Main Client Types,Main Client Types
supplieranalysis.main_markets,supplieranalysis,Main Markets,Main Markets,Main Markets,Main Markets
supplieranalysis.manufacturer_wholesale_custom,supplieranalysis,Manufacturer Wholesale Custom Fine Only Lamp...,Manufacturer Wholesale Custom Fine Only Lamp...,Manufacturer Wholesale Custom Fine Only Lamp...,Manufacturer Wholesale Custom Fine Only Lamp...
supplieranalysis.new_products_per_year,supplieranalysis,New Products Per Year,New Products Per Year,New Products Per Year,New Products Per Year
supplieranalysis.night_lights,supplieranalysis,night lights,night lights,night lights,night lights
supplieranalysis.no_of_production_lines,supplieranalysis,No. of Production Lines,No. of Production Lines,No. of Production Lines,No. of Production Lines
supplieranalysis.on_time_delivery_rate,supplieranalysis,On-time Delivery Rate,On-time Delivery Rate,On-time Delivery Rate,On-time Delivery Rate
supplieranalysis.online_revenue,supplieranalysis,Online Revenue,Online Revenue,Online Revenue,Online Revenue
supplieranalysis.premium_bamboo_charging_stand,supplieranalysis,Premium Bamboo Charging Stand Organizer with Wireless Pad...,Premium Bamboo Charging Stand Organizer with Wireless Pad...,Premium Bamboo Charging Stand Organizer with Wireless Pad...,Premium Bamboo Charging Stand Organizer with Wireless Pad...
supplieranalysis.r_d_staff,supplieranalysis,R&D Staff,R&D Staff,R&D Staff,R&D Staff
supplieranalysis.repurchase_rate,supplieranalysis,Repurchase Rate,Repurchase Rate,Repurchase Rate,Repurchase Rate
supplieranalysis.sample_processing_graphic_proc,supplieranalysis,sample processing， graphic processing， customization,sample processing， graphic processing， customization,sample processing， graphic processing， customization,sample processing， graphic processing， customization
supplieranalysis.services,supplieranalysis,Services,Services,Services,Services
supplieranalysis.they_offer_the_scalability_ne,supplieranalysis,， they offer the scalability needed for volume orders. Their customized on-demand and sample...,， they offer the scalability needed for volume orders. Their customized on-demand and sample...,， they offer the scalability needed for volume orders. Their customized on-demand and sample...,， they offer the scalability needed for volume orders. Their customized on-demand and sample...
supplieranalysis.this,supplieranalysis,This,This,This,This
supplieranalysis.total_staff,supplieranalysis,Total Staff,Total Staff,Total Staff,Total Staff
supplieranalysis.us_1_million_us_3_million,supplieranalysis,US$1 Million - US$3 Million,US$1 Million - US$3 Million,US$1 Million - US$3 Million,US$1 Million - US$3 Million
supplieranalysis.usb_wooden_base_lamp_led_3d_ni,supplieranalysis,USB Wooden Base Lamp Led 3D Night Light Round Oval Rectangle Wheel Lamp...,USB Wooden Base Lamp Led 3D Night Light Round Oval Rectangle Wheel Lamp...,USB Wooden Base Lamp Led 3D Night Light Round Oval Rectangle Wheel Lamp...,USB Wooden Base Lamp Led 3D Night Light Round Oval Rectangle Wheel Lamp...
supplieranalysis.wholesale_customized_christmas,supplieranalysis,Wholesale Customized Christmas Gifts Three Colors of Light LED...,Wholesale Customized Christmas Gifts Three Colors of Light LED...,Wholesale Customized Christmas Gifts Three Colors of Light LED...,Wholesale Customized Christmas Gifts Three Colors of Light LED...
supplieranalysis.wholesale_in_stock_high_qualit,supplieranalysis,Wholesale in Stock High Quality Oval Shape Acrylic Unit Led 3D Warm...,Wholesale in Stock High Quality Oval Shape Acrylic Unit Led 3D Warm...,Wholesale in Stock High Quality Oval Shape Acrylic Unit Led 3D Warm...,Wholesale in Stock High Quality Oval Shape Acrylic Unit Led 3D Warm...
supplieranalysis.wood_art_ornaments_gift_decora,supplieranalysis,Wood Art Ornaments Gift Decoration Groove Led White Warm Light...,Wood Art Ornaments Gift Decoration Groove Led White Warm Light...,Wood Art Ornaments Gift Decoration Groove Led White Warm Light...,Wood Art Ornaments Gift Decoration Groove Led White Warm Light...
supplieranalysis.wooden_base,supplieranalysis,wooden base,wooden base,wooden base,wooden base
supplieranalysis.wooden_diffuser,supplieranalysis,wooden diffuser,wooden diffuser,wooden diffuser,wooden diffuser
supplieranalysis.wooden_frame,supplieranalysis,wooden frame,wooden frame,wooden frame,wooden frame
supplieranalysis.year_founded,supplieranalysis,Year Founded,Year Founded,Year Founded,Year Founded
supplieranalysisdrawer.1,supplieranalysisdrawer,1,1,1,1
supplieranalysisdrawer.100,supplieranalysisdrawer,100,100,100,100
supplieranalysisdrawer.2017,supplieranalysisdrawer,2017,2017,2017,2017
supplieranalysisdrawer.25_0,supplieranalysisdrawer,25.0%,25.0%,25.0%,25.0%
supplieranalysisdrawer.6,supplieranalysisdrawer,6,6,6,6
supplieranalysisdrawer.92_9,supplieranalysisdrawer,92.9%,92.9%,92.9%,92.9%
tag.chinese,tag,用中文,In Chinese,用中文,In Chinese
tag.concise,tag,偏好直白简短,Prefers straightforward and concise,偏好直白简短,Prefers straightforward and concise
title.address,title,收货地址,Address,收货地址,Address
title.api_model,title,添加大模型,Add model,添加大模型,Add model
title.cart,title,购物车,Cart,购物车,Cart
title.checkout,title,确认订单,Checkout,确认订单,Checkout
title.community,title,社群动态,Community,社群动态,Community
title.contacts,title,通讯录管理,Contacts,通讯录管理,Contacts
title.coupons,title,卡券与权益,Coupons & Benefits,卡券与权益,Coupons & Benefits
title.fans,title,签到与粉丝中心,Check-in & Fans,签到与粉丝中心,Check-in & Fans
title.group_buy,title,正在拼单,Group Buy,正在拼单,Group Buy
title.influencer,title,达人申请,Influencer Apply,达人申请,Influencer Apply
title.leaderboard,title,推广排名,Leaderboard,推广排名,Leaderboard
title.lounge,title,沙龙,Lounge,沙龙,Lounge
title.me,title,个人中心,Me,个人中心,Me
title.my_feeds,title,我的动态,My Feeds,我的动态,My Feeds
title.notification,title,服务通知,Notifications,服务通知,Notifications
title.orders,title,我的订单,My Orders,我的订单,My Orders
title.personal_info,title,个人资料,My Profile,个人资料,My Profile
title.points_exchange,title,积分兑换,Points redemption,积分兑换,Points redemption
title.points_history,title,积分明细,Points details,积分明细,Points details
title.prime,title,严选特供,Prime,严选特供,Prime
title.product_detail,title,商品详情,Details,商品详情,Details
title.reward_history,title,奖励明细,Rewards,奖励明细,Rewards
title.security,title,账号与安全,Account & Security,账号与安全,Account & Security
title.service,title,客服与规则,Service & Rules,客服与规则,Service & Rules
title.settings,title,设置,set,设置,set
title.share,title,分享动态,Share,分享动态,Share
title.square,title,社群广场,Square,社群广场,Square
title.topics,title,热门话题,Topics,热门话题,Topics
title.user_profile,title,用户资料,User Profile,用户资料,User Profile
title.wallet,title,我的钱包,My Wallet,我的钱包,My Wallet
title.withdraw,title,申请提现,Withdrawal,申请提现,Withdrawal
tracking.carrier,tracking,物流公司,logistics,物流公司,logistics
tracking.collapse,tracking,收起全部,Hide all,收起全部,Hide all
tracking.contact_merchant,tracking,联系商家,Contact,联系商家,Contact
tracking.contact_phone,tracking,联系电话:,Whatsapp:,联系电话:,Whatsapp:
tracking.in_transit,tracking,运输中,During,运输中,During
tracking.recipient,tracking,收,get,收,get
userprofile.alex_design,userprofile,Alex_Design,Alex_Design,Alex_Design,Alex_Design
vccinput.message_dumbo,vccinput,Message Dumbo...,Message Dumbo...,Message Dumbo...,Message Dumbo...
voucher.discount_desc,voucher,全场通用，可与免单活动叠加,"Valid for all items, and can be combined with free purchase promotions.",全场通用，可与免单活动叠加,"Valid for all items, and can be combined with free purchase promotions."
voucher.discount_name,voucher,$5 无门槛代金券,$5 no minimum spend voucher,$5 无门槛代金券,$5 no minimum spend voucher
voucher.empty_suffix,voucher,卡券,coupons,卡券,coupons
voucher.expired,voucher,已过期,Expired,已过期,Expired
voucher.go_exchange,voucher,去积分商城兑换,Go to the points mall to redeem,去积分商城兑换,Go to the points mall to redeem
voucher.resurgence_desc,voucher,可补救5天内的断签,Can remedy a missed visa within 5 days,可补救5天内的断签,Can remedy a missed visa within 5 days
voucher.resurgence_name,voucher,续签卡 (Resurgence Card),Resurgence Card,续签卡 (Resurgence Card),Resurgence Card
voucher.search_placeholder,voucher,搜索卡券...,Search for coupons...,搜索卡券...,Search for coupons...
voucher.shipping_desc,voucher,免除基础运费，优先发货,"Free basic shipping, priority delivery",免除基础运费，优先发货,"Free basic shipping, priority delivery"
voucher.shipping_name,voucher,物流加速券,Logistics acceleration coupons,物流加速券,Logistics acceleration coupons
voucher.unused,voucher,未使用,Unused,未使用,Unused
voucher.use_action,voucher,使用,Use,使用,Use
voucher.used,voucher,已使用,Used,已使用,Used
voucher.valid_till,voucher,Valid till:,Valid till:,Valid till:,Valid till:
vouchers.expired,vouchers,expired,expired,expired,expired
vouchers.valid,vouchers,valid,valid,valid,valid
wallet.add_custom_model_action,wallet,添加自定义大模型,Add Custom Model,添加自定义大模型,Add Custom Model
wallet.ai_usage_reward,wallet,大模型使用量与奖励,AI Usage & Rewards,大模型使用量与奖励,AI Usage & Rewards
wallet.api_tokens,wallet,大模型额度,API Tokens,大模型额度,API Tokens
wallet.approaching_limit,wallet,即将超限,Approaching Limit,即将超限,Approaching Limit
wallet.cash_balance,wallet,现金余额,Cash Balance,现金余额,Cash Balance
wallet.cash_detail,wallet,现金明细,Cash Detail,现金明细,Cash Detail
wallet.compute_pool,wallet,算力积分池,Compute Points Pool,算力积分池,Compute Points Pool
wallet.custom_model_active_desc,wallet,当前使用自定义大模型，无限用量，还能持续获得算力贡献积分奖励！,"Currently, we are using a custom large model with unlimited usage, and we can continue to earn computing power contribution points as rewards!",当前使用自定义大模型，无限用量，还能持续获得算力贡献积分奖励！,"Currently, we are using a custom large model with unlimited usage, and we can continue to earn computing power contribution points as rewards!"
wallet.extract_points_action,wallet,手动提取积分至钱包,Extract Points to Wallet,手动提取积分至钱包,Extract Points to Wallet
wallet.free_limit_note,wallet,免费额度: 300K Tokens / 日,Free Limit: 300K Tokens / day,免费额度: 300K Tokens / 日,Free Limit: 300K Tokens / day
wallet.limit_reached_desc,wallet,平台免费额度即将用尽。强烈推荐添加您的自定义大模型，不仅无限量使用，还可获得额外的算力贡献积分奖励！,Free limit almost used. Add custom model for unlimited use and rewards!,平台免费额度即将用尽。强烈推荐添加您的自定义大模型，不仅无限量使用，还可获得额外的算力贡献积分奖励！,Free limit almost used. Add custom model for unlimited use and rewards!
wallet.local_tokens,wallet,本机调用 Tokens,Local Tokens,本机调用 Tokens,Local Tokens
wallet.platform_limit,wallet,平台使用限制,Platform Limit,平台使用限制,Platform Limit
wallet.points_balance,wallet,积分余额,Points Balance,积分余额,Points Balance
wallet.points_detail,wallet,积分明细,Points Detail,积分明细,Points Detail
wallet.today_tokens,wallet,今日已消耗 Tokens,Today'，,今日已消耗 Tokens,Today'，
wallet.withdraw_action,wallet,申请提现,Withdrawal,申请提现,Withdrawal
wishlistdetail.collective_power,wishlistdetail,Collective Power,Collective Power,Collective Power,Collective Power
wishlistdetail.direct_notification,wishlistdetail,Direct Notification,Direct Notification,Direct Notification,Direct Notification
wishlistdetail.discovery,wishlistdetail,Discovery,Discovery,Discovery,Discovery
wishlistdetail.early_bird_priority,wishlistdetail,Early Bird Priority,Early Bird Priority,Early Bird Priority,Early Bird Priority
wishlistdetail.joining_the_wishlist_does_not,wishlistdetail,Joining the wishlist does not require immediate payment. You are expressing interest， not placing a binding order. We will not charge you until the official C2W phase starts.,Joining the wishlist does not require immediate payment. You are expressing interest， not placing a binding order. We will not charge you until the official C2W phase starts.,Joining the wishlist does not require immediate payment. You are expressing interest， not placing a binding order. We will not charge you until the official C2W phase starts.,Joining the wishlist does not require immediate payment. You are expressing interest， not placing a binding order. We will not charge you until the official C2W phase starts.
wishlistdetail.no_commitment_yet,wishlistdetail,No Commitment Yet,No Commitment Yet,No Commitment Yet,No Commitment Yet
wishlistdetail.this_concept_represents_the_ne,wishlistdetail,This concept represents the next generation of modular workspace integration. We are investigating global manufacturing feasibility. By joining the wishlist， you help us negotiate with top-tier verified artisans to bring this to life at a fraction of retail cost.,This concept represents the next generation of modular workspace integration. We are investigating global manufacturing feasibility. By joining the wishlist， you help us negotiate with top-tier verified artisans to bring this to life at a fraction of retail cost.,This concept represents the next generation of modular workspace integration. We are investigating global manufacturing feasibility. By joining the wishlist， you help us negotiate with top-tier verified artisans to bring this to life at a fraction of retail cost.,This concept represents the next generation of modular workspace integration. We are investigating global manufacturing feasibility. By joining the wishlist， you help us negotiate with top-tier verified artisans to bring this to life at a fraction of retail cost.
wishlistdetail.we_are_currently_in_the_commun,wishlistdetail,"We are currently in the community discovery phase to gauge real-world demand. Your ""wish"" helps us decide whether to move forward with mass production.","We are currently in the community discovery phase to gauge real-world demand. Your ""wish"" helps us decide whether to move forward with mass production.","We are currently in the community discovery phase to gauge real-world demand. Your ""wish"" helps us decide whether to move forward with mass production.","We are currently in the community discovery phase to gauge real-world demand. Your ""wish"" helps us decide whether to move forward with mass production."
wishlistdetail.we_noticed_a_gap_in_the_marke,wishlistdetail,"""We noticed a gap in the market for high-quality， sustainable workspace tools. Most options are either too expensive or poorly made. This modular system aims to be the last desk organizer you'll ever need to buy.""","""We noticed a gap in the market for high-quality， sustainable workspace tools. Most options are either too expensive or poorly made. This modular system aims to be the last desk organizer you'll ever need to buy.""","""We noticed a gap in the market for high-quality， sustainable workspace tools. Most options are either too expensive or poorly made. This modular system aims to be the last desk organizer you'll ever need to buy.""","""We noticed a gap in the market for high-quality， sustainable workspace tools. Most options are either too expensive or poorly made. This modular system aims to be the last desk organizer you'll ever need to buy."""
wishlistdetail.we_re_monitoring_community_in,wishlistdetail,"""We're monitoring community interest. Once we hit goal， we'll launch a collective pre-order with exclusive factory pricing.""","""We're monitoring community interest. Once we hit goal， we'll launch a collective pre-order with exclusive factory pricing.""","""We're monitoring community interest. Once we hit goal， we'll launch a collective pre-order with exclusive factory pricing.""","""We're monitoring community interest. Once we hit goal， we'll launch a collective pre-order with exclusive factory pricing."""
wishlistdetail.we_will_notify_you_immediately,wishlistdetail,We will notify you immediately via VCC message once the product reaches its goal or moves to the next phase.,We will notify you immediately via VCC message once the product reaches its goal or moves to the next phase.,We will notify you immediately via VCC message once the product reaches its goal or moves to the next phase.,We will notify you immediately via VCC message once the product reaches its goal or moves to the next phase.
wishlistdetail.wishlist_members_get_a_24_hour,wishlistdetail,"Wishlist members get a 24-hour head start and an additional 10% ""Insight Discount"" when the pre-order goes live.","Wishlist members get a 24-hour head start and an additional 10% ""Insight Discount"" when the pre-order goes live.","Wishlist members get a 24-hour head start and an additional 10% ""Insight Discount"" when the pre-order goes live.","Wishlist members get a 24-hour head start and an additional 10% ""Insight Discount"" when the pre-order goes live."
withdraw.0_numamount,withdraw,0 && numAmount,0 && numAmount,0 && numAmount,0 && numAmount
withdraw.all,withdraw,全部,All,全部,All
withdraw.amount,withdraw,提现金额,Withdrawal Amount,提现金额,Withdrawal Amount
withdraw.back_to_wallet,withdraw,返回钱包,Back to Wallet,返回钱包,Back to Wallet
withdraw.crypto,withdraw,虚拟货币 (USDC),USDC,虚拟货币 (USDC),USDC
withdraw.estimated_arrival,withdraw,预计实际到账,Estimated Arrival,预计实际到账,Estimated Arrival
withdraw.eta,withdraw,预计到账,Estimated Arrival,预计到账,Estimated Arrival
withdraw.eta_note,withdraw,提现申请将在 1-3 个工作日内审核并打款。,Withdrawal requests will be reviewed and processed within 1-3 business days.,提现申请将在 1-3 个工作日内审核并打款。,Withdrawal requests will be reviewed and processed within 1-3 business days.
withdraw.fee,withdraw,服务费,Service Fee,服务费,Service Fee
withdraw.fee_deduction_note,withdraw,实际到账金额将自动扣除对应的通道手续费。,Actual arrival amount will automatically deduct corresponding channel fees.,实际到账金额将自动扣除对应的通道手续费。,Actual arrival amount will automatically deduct corresponding channel fees.
withdraw.fee_note,withdraw,含手续费,incl. fee,含手续费,incl. fee
withdraw.fee_rate,withdraw,费率,Fee Rate,费率,Fee Rate
withdraw.insufficient_balance,withdraw,余额不足,Insufficient Balance,余额不足,Insufficient Balance
withdraw.method,withdraw,提现方式,Withdrawal Method,提现方式,Withdrawal Method
withdraw.min_amount_error,withdraw,提现金额需大于 $50 小于,Amount must be at least $50,提现金额需大于 $50 小于,Amount must be at least $50
withdraw.min_amount_note,withdraw,最低提现金额为 $50.00。,Minimum withdrawal amount is $50.00.,最低提现金额为 $50.00。,Minimum withdrawal amount is $50.00.
withdraw.minamount_numamount,withdraw,= minAmount && numAmount,= minAmount && numAmount,= minAmount && numAmount,= minAmount && numAmount
withdraw.paypal,withdraw,PayPal,PayPal,PayPal,PayPal
withdraw.submit,withdraw,提交提现,Submit Withdrawal,提交提现,Submit Withdrawal
withdraw.submitted,withdraw,提现申请已提交,Withdrawal Submitted,提现申请已提交,Withdrawal Submitted
withdraw.success_desc,withdraw,您提现的 ${amount} 将在 1-3 个工作日内处理至您的 {method} 账户。,Your withdrawal of ${amount} will be processed to your {method} account within 1-3 business days.,您提现的 ${amount} 将在 1-3 个工作日内处理至您的 {method} 账户。,Your withdrawal of ${amount} will be processed to your {method} account within 1-3 business days.
withdraw.title,withdraw,申请提现,Withdraw Funds,申请提现,Withdraw Funds
withdraw.withdrawable_balance,withdraw,可提现余额,Withdrawable Balance,可提现余额,Withdrawable Balance
withdrawdrawer.0_00,withdrawdrawer,0.00,0.00,0.00,0.00
common.accepted,common,已接受,Accepted,已接受,Accepted
checkout.continue_chat,checkout,继续聊天,Continue to Chat,继续聊天,Continue to Chat
contact_note.new_friend,contact_note,新好友,New friend,新好友,New friend
VORTEX888,VORTEX888,Vortex888,Vortex888,Vortex888,Vortex888
address_mgmt,address_mgmt,Address Mgmt,Address Mgmt,Address Mgmt,Address Mgmt
ai.name,ai,Name,Name,Name,Name
ai.online,ai,Online,Online,Online,Online
ai.powered,ai,Powered,Powered,Powered,Powered
ai.resp.default,ai,Default,Default,Default,Default
ai_name,ai_name,Ai Name,Ai Name,Ai Name,Ai Name
back,back,Back,Back,Back,Back
chat.close_group,chat,聊天,Close Group,聊天,Close Group
chat.leave_group,chat,聊天,Leave Group,聊天,Leave Group
chat.member_management,chat,聊天,Member Management,聊天,Member Management
checkout.block_reason.inactive,checkout,Inactive,Inactive,Inactive,Inactive
checkout.block_reason.missing_price,checkout,Missing Price,Missing Price,Missing Price,Missing Price
checkout.block_reason.more_items,checkout,More Items,More Items,More Items,More Items
checkout.block_reason.not_published,checkout,Not Published,Not Published,Not Published,Not Published
checkout.blocked_unavailable,checkout,Blocked Unavailable,Blocked Unavailable,Blocked Unavailable,Blocked Unavailable
checkout.cta_continue_address,checkout,Cta Continue Address,Cta Continue Address,Cta Continue Address,Cta Continue Address
checkout.cta_continue_payment,checkout,Cta Continue Payment,Cta Continue Payment,Cta Continue Payment,Cta Continue Payment
checkout.delivery_address,checkout,Delivery Address,Delivery Address,Delivery Address,Delivery Address
checkout.error.auth_required,checkout,Auth Required,Auth Required,Auth Required,Auth Required
checkout.error.create_order_gateway_unavailable,checkout,Create Order Gateway Unavailable,Create Order Gateway Unavailable,Create Order Gateway Unavailable,Create Order Gateway Unavailable
checkout.error.create_order_missing_redirect,checkout,Create Order Missing Redirect,Create Order Missing Redirect,Create Order Missing Redirect,Create Order Missing Redirect
checkout.error.duplicate_submission,checkout,Duplicate Submission,Duplicate Submission,Duplicate Submission,Duplicate Submission
checkout.error.insufficient_balance,checkout,Insufficient Balance,Insufficient Balance,Insufficient Balance,Insufficient Balance
checkout.error.product_not_found,checkout,Product Not Found,Product Not Found,Product Not Found,Product Not Found
checkout.error.quote_invalid,checkout,Quote Invalid,Quote Invalid,Quote Invalid,Quote Invalid
checkout.error.quote_token_missing,checkout,Quote Token Missing,Quote Token Missing,Quote Token Missing,Quote Token Missing
checkout.error.validation_failed,checkout,Validation Failed,Validation Failed,Validation Failed,Validation Failed
checkout.free_suffix,checkout,Free Suffix,Free Suffix,Free Suffix,Free Suffix
checkout.full_balance_cover_desc,checkout,Full Balance Cover Desc,Full Balance Cover Desc,Full Balance Cover Desc,Full Balance Cover Desc
checkout.loading_discounts,checkout,Loading Discounts,Loading Discounts,Loading Discounts,Loading Discounts
checkout.payment_shopify_secure_subtitle,checkout,Payment Shopify Secure Subtitle,Payment Shopify Secure Subtitle,Payment Shopify Secure Subtitle,Payment Shopify Secure Subtitle
checkout.payment_shopify_secure_title,checkout,Payment Shopify Secure Title,Payment Shopify Secure Title,Payment Shopify Secure Title,Payment Shopify Secure Title
checkout.payment_usdc_subtitle,checkout,Payment Usdc Subtitle,Payment Usdc Subtitle,Payment Usdc Subtitle,Payment Usdc Subtitle
checkout.preflight_checking,checkout,Preflight Checking,Preflight Checking,Preflight Checking,Preflight Checking
checkout.prime_benefit,checkout,Prime Benefit,Prime Benefit,Prime Benefit,Prime Benefit
checkout.quote_aligned_amount,checkout,Quote Aligned Amount,Quote Aligned Amount,Quote Aligned Amount,Quote Aligned Amount
checkout.save_prefix,checkout,Save Prefix,Save Prefix,Save Prefix,Save Prefix
checkout.securing_allocating_balance,checkout,Securing Allocating Balance,Securing Allocating Balance,Securing Allocating Balance,Securing Allocating Balance
checkout.securing_authenticating,checkout,Securing Authenticating,Securing Authenticating,Securing Authenticating,Securing Authenticating
checkout.securing_syncing_gateway,checkout,Securing Syncing Gateway,Securing Syncing Gateway,Securing Syncing Gateway,Securing Syncing Gateway
checkout.step_address,checkout,Step Address,Step Address,Step Address,Step Address
checkout.step_payment,checkout,Step Payment,Step Payment,Step Payment,Step Payment
checkout.step_review,checkout,Step Review,Step Review,Step Review,Step Review
checkout.tax_gateway_settlement,checkout,Tax Gateway Settlement,Tax Gateway Settlement,Tax Gateway Settlement,Tax Gateway Settlement
common.next,common,Next,Next,Next,Next
common.product,common,Product,Product,Product,Product
common.today,common,Today,Today,Today,Today
common.years_suffix,common,Years Suffix,Years Suffix,Years Suffix,Years Suffix
community,community,Community,Community,Community,Community
contact.blacklist,contact,Blacklist,Blacklist,Blacklist,Blacklist
contact.block,contact,Block,Block,Block,Block
contact.no_friends,contact,No Friends,No Friends,No Friends,No Friends
contact.unblock,contact,Unblock,Unblock,Unblock,Unblock
contacts.alex_m,contacts,Alex M,Alex M,Alex M,Alex M
coupon.platform_tab,coupon,Platform Tab,Platform Tab,Platform Tab,Platform Tab
coupon.store_tab,coupon,Store Tab,Store Tab,Store Tab,Store Tab
email,email,Email,Email,Email,Email
feed.mock_comment_1,feed,Mock Comment 1,Mock Comment 1,Mock Comment 1,Mock Comment 1
feed.mock_comment_2,feed,Mock Comment 2,Mock Comment 2,Mock Comment 2,Mock Comment 2
feed.mock_comment_3,feed,Mock Comment 3,Mock Comment 3,Mock Comment 3,Mock Comment 3
feed.mock_content_1,feed,Mock Content 1,Mock Content 1,Mock Content 1,Mock Content 1
feed.mock_content_2,feed,Mock Content 2,Mock Content 2,Mock Content 2,Mock Content 2
feed.mock_content_3,feed,Mock Content 3,Mock Content 3,Mock Content 3,Mock Content 3
level,level,Level,Level,Level,Level
lounge.already_friend,lounge,已是好友,Already Friend,已是好友,Already Friend
lounge.chat,lounge,聊天,Chat,聊天,Chat
lounge.discover,lounge,发现,Discover,发现,Discover
lounge.group_digital,lounge,数码交流群,Group Digital,数码交流群,Group Digital
lounge.group_nyc,lounge,纽约同城群,Group Nyc,纽约同城群,Group Nyc
lounge.members,lounge,成员,Members,成员,Members
lounge.msg_camera_group,lounge,有人出二手微单吗？,Msg Camera Group,有人出二手微单吗？,Msg Camera Group
lounge.msg_iphone_launch,lounge,看今晚苹果发布会吗？,Msg Iphone Launch,看今晚苹果发布会吗？,Msg Iphone Launch
lounge.not_friend,lounge,非好友,Not Friend,非好友,Not Friend
mall,mall,Mall,Mall,Mall,Mall
nickname,nickname,Nickname,Nickname,Nickname,Nickname
notification.account,notification,Account,Account,Account,Account
notification.activity,notification,Activity,Activity,Activity,Activity
notification.ai_reward_title,notification,Ai Reward Title,Ai Reward Title,Ai Reward Title,Ai Reward Title
notification.amount,notification,Amount,Amount,Amount,Amount
notification.arrival,notification,Arrival,Arrival,Arrival,Arrival
notification.benefit,notification,Benefit,Benefit,Benefit,Benefit
notification.c2w_footer,notification,C2W Footer,C2W Footer,C2W Footer,C2W Footer
notification.c2w_success,notification,C2W Success,C2W Success,C2W Success,C2W Success
notification.cashback_footer,notification,Cashback Footer,Cashback Footer,Cashback Footer,Cashback Footer
notification.cashback_title,notification,Cashback Title,Cashback Title,Cashback Title,Cashback Title
notification.courier,notification,Courier,Courier,Courier,Courier
notification.delivered_title,notification,Delivered Title,Delivered Title,Delivered Title,Delivered Title
notification.device,notification,Device,Device,Device,Device
notification.discount,notification,Discount,Discount,Discount,Discount
notification.eta,notification,Eta,Eta,Eta,Eta
notification.eta_days,notification,Eta Days,Eta Days,Eta Days,Eta Days
notification.event,notification,Event,Event,Event,Event
notification.expires,notification,Expires,Expires,Expires,Expires
notification.fee,notification,Fee,Fee,Fee,Fee
notification.flash_footer,notification,Flash Footer,Flash Footer,Flash Footer,Flash Footer
notification.flash_sale,notification,Flash Sale,Flash Sale,Flash Sale,Flash Sale
notification.follower_bio,notification,Follower Bio,Follower Bio,Follower Bio,Follower Bio
notification.friend_invite,notification,Friend Invite,Friend Invite,Friend Invite,Friend Invite
notification.from_user,notification,From User,From User,From User,From User
notification.liked_title,notification,Liked Title,Liked Title,Liked Title,Liked Title
notification.new_follower,notification,New Follower,New Follower,New Follower,New Follower
notification.order_shipped,notification,Order Shipped,Order Shipped,Order Shipped,Order Shipped
notification.plan,notification,Plan,Plan,Plan,Plan
